TARGET_CLASS,algorithm,BranchCoverage,CoverageTimeline_T1,CoverageTimeline_T2,CoverageTimeline_T3,CoverageTimeline_T4,CoverageTimeline_T5,CoverageTimeline_T6,CoverageTimeline_T7,CoverageTimeline_T8,CoverageTimeline_T9,CoverageTimeline_T10,CoverageTimeline_T11,CoverageTimeline_T12,CoverageTimeline_T13,CoverageTimeline_T14,CoverageTimeline_T15,CoverageTimeline_T16,CoverageTimeline_T17,CoverageTimeline_T18,CoverageTimeline_T19,CoverageTimeline_T20,CoverageTimeline_T21,CoverageTimeline_T22,CoverageTimeline_T23,CoverageTimeline_T24,CoverageTimeline_T25,CoverageTimeline_T26,CoverageTimeline_T27,CoverageTimeline_T28,CoverageTimeline_T29,CoverageTimeline_T30
CharArrayWriter,MONOTONICGA,0.9696969697,0.1818181818,0.1818181818,0.1818181818,0.5822510823,0.7878787879,0.8127062706,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.3939393939,0.3939393939,0.3939393939,0.3939393939,0.7575757576,0.7878787879,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.6363636364,0.6363636364,0.6363636364,0.6363636364,0.8044910993,0.8489167996,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.6363636364,0.6363636364,0.6363636364,0.7878787879,0.7878787879,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
CharArrayWriter,MONOTONICGA,0.9696969697,0.0909090909,0.0909090909,0.0909090909,0.0909090909,0.7722477944,0.7878787879,0.9171049336,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697,0.9696969697
Average:,,0.9696969697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChunkedLongArray,MONOTONICGA,0.935483871,0.3870967742,0.3870967742,0.3870967742,0.8064516129,0.8064516129,0.8064516129,0.8507353539,0.9319899244,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0,0,0.0967741935,0.5018897776,0.5806451613,0.9032258065,0.9032258065,0.9341682892,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.9640552995,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.3225806452,0.3225806452,0.3225806452,0.6277760129,0.6451612903,0.671201313,0.935483871,0.935483871,0.9424813896,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.4193548387,0.4193548387,0.4193548387,0.4193548387,0.4838709677,0.4838709677,0.4838709677,0.641567077,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.3548387097,0.3548387097,0.1028225806,0.4305510482,0.4721248247,0.5358139535,0.935483871,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.4516129032,0.4516129032,0.4516129032,0.4841022083,0.5161290323,0.5163338454,0.935483871,0.935483871,0.935483871,0.935483871,0.935483871,0.9366102437,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.7741935484,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.0967741935,0.0967741935,0.0967741935,0.432942479,0.5335916662,0.6129032258,0.6129032258,0.8625903782,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.2258064516,0.2258064516,0.2258064516,0.6644076986,0.7096774194,0.8041016877,0.943381535,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
ChunkedLongArray,MONOTONICGA,0.9677419355,0.4516129032,0.4516129032,0.4516129032,0.1634315253,0.169265865,0.1751002048,0.1809345445,0.1867688843,0.1926032241,0.4365349764,0.6604192948,0.8064516129,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355,0.9677419355
Average:,,0.964516129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
